Player,Year,Surface,Matches,Wins,Win_pct
 Hajek J.,2006,Clay,2,1,50.0
Abdulla M.,2005,Hard,1,0,0.0
Abel M.,2002,Hard,2,0,0.0
Abel M.,2003,Clay,2,1,50.0
Abel M.,2003,Grass,1,0,0.0
Abel M.,2003,Hard,2,0,0.0
Abel M.,2004,Clay,1,0,0.0
Acasuso J.,2001,Clay,14,7,50.0
Acasuso J.,2001,Grass,1,0,0.0
Acasuso J.,2001,Hard,4,1,25.0
Acasuso J.,2002,Carpet,2,0,0.0
Acasuso J.,2002,Clay,30,20,66.66666666666666
Acasuso J.,2002,Grass,1,0,0.0
Acasuso J.,2002,Hard,5,1,20.0
Acasuso J.,2003,Clay,16,8,50.0
Acasuso J.,2003,Grass,2,0,0.0
Acasuso J.,2003,Hard,9,2,22.22222222222222
Acasuso J.,2004,Clay,28,18,64.28571428571429
Acasuso J.,2004,Grass,2,0,0.0
Acasuso J.,2004,Hard,3,0,0.0
Acasuso J.,2005,Carpet,3,2,66.66666666666666
Acasuso J.,2005,Clay,29,15,51.724137931034484
Acasuso J.,2005,Grass,1,0,0.0
Acasuso J.,2005,Hard,18,8,44.44444444444444
Acasuso J.,2006,Carpet,4,2,50.0
Acasuso J.,2006,Clay,26,19,73.07692307692307
Acasuso J.,2006,Hard,15,5,33.33333333333333
Acasuso J.,2007,Carpet,2,0,0.0
Acasuso J.,2007,Clay,24,13,54.166666666666664
Acasuso J.,2007,Hard,9,5,55.55555555555556
Acasuso J.,2008,Carpet,1,0,0.0
Acasuso J.,2008,Clay,26,15,57.692307692307686
Acasuso J.,2008,Hard,21,10,47.61904761904761
Acasuso J.,2009,Clay,25,14,56.00000000000001
Acasuso J.,2009,Hard,13,7,53.84615384615385
Acasuso J.,2010,Clay,1,1,100.0
Acasuso J.,2010,Hard,2,0,0.0
Acasuso J.,2011,Clay,3,2,66.66666666666666
Adaktusson J.,2006,Hard,1,0,0.0
Added D.,2025,Hard,1,0,0.0
Agaev E.,2002,Hard,1,0,0.0
Agamenone F.,2022,Clay,5,3,60.0
Agassi A.,2000,Carpet,3,3,100.0
Agassi A.,2000,Clay,6,4,66.66666666666666
Agassi A.,2000,Grass,6,5,83.33333333333334
Agassi A.,2000,Hard,31,23,74.19354838709677
Agassi A.,2001,Clay,9,5,55.55555555555556
Agassi A.,2001,Grass,6,5,83.33333333333334
Agassi A.,2001,Hard,44,34,77.27272727272727
Agassi A.,2002,Carpet,3,2,66.66666666666666
Agassi A.,2002,Clay,14,12,85.71428571428571
Agassi A.,2002,Grass,2,1,50.0
Agassi A.,2002,Hard,44,36,81.81818181818183
Agassi A.,2003,Clay,11,9,81.81818181818183
Agassi A.,2003,Grass,8,6,75.0
Agassi A.,2003,Hard,36,30,83.33333333333334
Agassi A.,2004,Clay,6,3,50.0
Agassi A.,2004,Grass,1,0,0.0
Agassi A.,2004,Hard,40,31,77.5
Agassi A.,2005,Clay,10,6,60.0
Agassi A.,2005,Hard,39,32,82.05128205128204
Agassi A.,2006,Grass,4,2,50.0
Agassi A.,2006,Hard,14,8,57.14285714285714
Agenor R.,2000,Clay,11,3,27.27272727272727
Agenor R.,2000,Grass,2,0,0.0
Agenor R.,2000,Hard,8,2,25.0
Agenor R.,2001,Clay,1,0,0.0
Agenor R.,2001,Hard,3,1,33.33333333333333
Ager J.,2002,Clay,1,0,0.0
Ager J.,2004,Clay,1,0,0.0
Agostinelli B.,2009,Hard,1,0,0.0
Aguilar J.,2006,Clay,1,1,100.0
Aguilar J.,2010,Clay,2,0,0.0
Aguilar J.,2011,Clay,1,0,0.0
Aguilar J.,2013,Clay,1,0,0.0
Ahouda A.,2016,Clay,1,0,0.0
Ahouda A.,2017,Clay,2,1,50.0
Ahouda A.,2018,Clay,1,0,0.0
Ajdukovic D.,2021,Clay,2,1,50.0
Ajdukovic D.,2022,Clay,1,0,0.0
